event_name,event_code
cycles,0x11
instr,0x08
instr_arch_executed,0x08
l2_cache_accesses,0x16
l2_cache_refills,0x17
l2_cache_writebacks,0x18
l1_data_refills,0x03
l1_data_accesses,0x04
llc_accesses,0x16
llc_misses,0x17
data_read_retired,0x06
data_write_retired,0x07
l1_instr_refills,0x01
itlb_misses,0x02
dtlb_misses,0x03
mispred_branches,0x10
inmediate_branches_retired,0x0D
potentially_predicted_branches,0x12
bus_accesses,0x19
data_mem_access,0x13
instr_cache_access,0x14
data_cache_eviction,0x15
