bus_accesses,llc_accesses,cycles,llc_misses,instr,cluster,phase
6111,51579,5593268,1125,3469001,0,1
3895,50326,5568772,740,3483358,0,1
5379,47646,5243987,806,3277535,0,1
4580,50934,5618507,872,3500276,0,1
6387,52056,5620576,1198,3468327,0,1
4392,51501,5620067,848,3509427,0,1
4590,51575,5620063,877,3501165,0,1
4346,51079,5609922,838,3502146,0,1
9730,51894,5618098,1128,3416490,0,1
4365,51182,5597363,842,3502571,0,1
45122,47669,5343862,2542,2839097,0,1
13931,52542,5612532,2143,3287181,0,1
4075,50024,5582921,798,3495116,0,1
3845,48312,5309234,819,3309529,0,1
3821,49455,5555711,914,3456638,0,1
5692,51225,5566414,1296,3428731,0,1
4346,50577,5509178,1012,3418900,0,1
3782,48771,5440385,903,3381157,0,1
5308,47644,5301492,858,3303294,0,1
5678,50426,5568052,1284,3422043,0,1
3878,49714,5569753,935,3475760,0,1
3995,47559,5280416,921,3286471,0,1
3827,47362,5277494,894,3285587,0,1
6207,48176,5305884,1220,3247984,0,1
4299,50267,5596324,1012,3471277,0,1
4562,50510,5622754,1056,3488412,0,1
3674,48613,5436260,863,3389889,0,1
4622,50954,5588576,805,3494618,0,1
7473,48304,5328811,1143,3280443,0,1
6313,50857,5554010,928,3459517,0,1
6725,50824,5594382,1022,3462098,0,1
7128,51686,5596428,1000,3469757,0,1
9847,52578,5606099,1386,3423381,0,1
6694,50542,5590756,981,3466875,0,1
6700,51116,5598715,1015,3469093,0,1
6172,50463,5557128,909,3458434,0,1
9674,50980,5568605,1349,3419154,0,1
7011,50335,5598390,1031,3465437,0,1
6650,50516,5603940,1015,3474692,0,1
3867,47464,5283130,889,3299322,0,1
9530,48340,5306182,1330,3263560,0,1
3802,48073,5304186,885,3313438,0,1
4878,49281,5477790,799,3434833,0,1
4692,49774,5466289,799,3427415,0,1
5063,50571,5617488,881,3508686,0,1
7438,51211,5600758,1177,3471351,0,1
4565,50065,5585770,798,3505275,0,1
4778,48067,5312158,804,3327249,0,1
3746,47991,5281693,867,3306282,0,1
5601,47613,5223594,1229,3224225,0,1
4710,49383,5469029,792,3431091,0,1
4774,49474,5467443,792,3422471,0,1
5223,47473,5296849,787,3325185,0,1
7518,50374,5561776,1100,3451005,0,1
4940,50169,5595450,836,3502491,0,1
4900,50106,5588829,825,3500272,0,1
5283,50724,5614880,913,3502499,0,1
5899,47639,5270838,870,3290747,0,1
5962,50288,5482138,1141,3397449,0,1
4876,49378,5468028,788,3423070,0,1
4910,50093,5590173,821,3498875,0,1
4762,50230,5585269,802,3501791,0,1
7363,50804,5582575,1162,3460217,0,1
4745,47493,5314074,801,3328140,0,1
3867,47837,5266975,893,3291243,0,1
6263,47794,5266862,918,3274647,0,1
5832,50303,5478967,1152,3393941,0,1
3915,49720,5466615,799,3421468,0,1
4718,50764,5621589,907,3510903,0,1
4488,50765,5617447,893,3505576,0,1
6426,51001,5592832,1182,3469240,0,1
3988,50105,5574885,790,3494471,0,1
6251,50939,5588946,967,3486248,0,1
6113,47234,5262820,876,3279526,0,1
5787,47408,5267415,881,3285569,0,1
7048,50204,5468867,1131,3390966,0,1
3578,47743,5294519,775,3326029,0,1
7256,50446,5602409,1006,3482505,0,1
6933,50282,5594775,1003,3479669,0,1
9345,51322,5606450,1405,3446921,0,1
5879,49621,5515096,896,3450876,0,1
6362,47140,5260114,874,3286550,0,1
5854,47253,5257606,884,3285084,0,1
6810,50309,5473670,1123,3402798,0,1
5259,50662,5613826,904,3514238,0,1
4779,50209,5588143,832,3508416,0,1
4534,50007,5583022,800,3496441,0,1
3770,47538,5258170,859,3284630,0,1
6539,51313,5614023,1249,3459198,0,1
5987,47631,5270303,881,3281645,0,1
3907,49221,5482483,805,3427189,0,1
3946,49848,5474988,791,3425247,0,1
6890,51226,5624059,1292,3453848,0,1
4051,50817,5587335,809,3492063,0,1
4025,50532,5585684,789,3491728,0,1
4198,47873,5316380,803,3327729,0,1
5906,51286,5564243,1336,3424254,0,1
4376,50090,5595404,1016,3477632,0,1
4591,50912,5623034,1069,3478829,0,1
3662,48786,5435270,870,3397150,0,1
7320,50902,5596588,1191,3449618,0,1
4442,49619,5575635,788,3492780,0,1
4490,47744,5330120,777,3331784,0,1
3785,47295,5279843,879,3291918,0,1
6509,51061,5617807,1262,3459630,0,1
4631,50319,5612095,884,3498511,0,1
4683,51065,5635654,923,3498772,0,1
3748,49552,5473833,780,3421674,0,1
4486,50861,5621438,901,3491863,0,1
6761,51622,5622910,1246,3461679,0,1
4634,50627,5616999,899,3492715,0,1
4799,50841,5620087,914,3497871,0,1
3963,48242,5290794,925,3284128,0,1
6565,50535,5586297,1193,3447545,0,1
4407,50494,5599052,854,3503612,0,1
4100,50032,5559312,962,3472443,0,1
4077,49806,5564377,964,3478910,0,1
5811,48066,5291302,1286,3257912,0,1
4623,50701,5621431,910,3511877,0,1
4506,50643,5618925,896,3506993,0,1
6874,51515,5621165,1260,3472821,0,1
4777,50913,5636626,934,3513182,0,1
3950,49370,5467210,788,3433499,0,1
4629,50671,5619303,911,3508146,0,1
4535,50642,5614113,872,3513051,0,1
6665,51534,5616040,1241,3471076,0,1
4555,51156,5619485,896,3505671,0,1
4596,50776,5620816,903,3513401,0,1
4794,50667,5619458,924,3511035,0,1
7178,52289,5643074,1318,3473500,0,1
3807,49422,5465319,784,3433364,0,1
4704,50650,5614702,895,3503839,0,1
4647,50817,5617536,887,3509698,0,1
6792,51713,5623454,1244,3470621,0,1
4784,50540,5608451,893,3508725,0,1
4095,50531,5586749,818,3494454,0,1
5076,47934,5324972,816,3334768,0,1
7215,51992,5630503,1298,3473331,0,1
4099,49241,5470986,809,3429060,0,1
4130,50682,5585766,814,3503307,0,1
5050,48393,5307846,819,3318890,0,1
9247,51108,5595896,1378,3445478,0,1
3986,48872,5293637,927,3305115,0,1
7329,50240,5596281,1035,3478929,0,1
6859,50548,5598112,989,3482392,0,1
7148,51364,5615959,1038,3486873,0,1
8250,49585,5412629,1209,3341247,0,1
4570,50623,5623950,893,3513615,0,1
4520,51093,5622597,895,3513794,0,1
4346,50475,5596758,840,3506859,0,1
5947,50914,5587164,1163,3468700,0,1
6083,47318,5269379,868,3290291,0,1
4834,50961,5629904,947,3512612,0,1
4728,51577,5633213,936,3511631,0,1
5835,50187,5474441,1146,3399558,0,1
4485,51666,5612888,882,3507432,0,1
4662,50549,5614774,890,3519124,0,1
4846,50698,5617565,914,3515550,0,1
6974,51722,5619734,1264,3478125,0,1
4740,50426,5615583,925,3498293,0,1
4751,50540,5615353,899,3496102,0,1
4816,51177,5633512,921,3506943,0,1
5993,49753,5470723,1157,3388197,0,1
4325,50496,5582175,822,3489410,0,1
5394,47920,5307862,841,3304328,0,1
6918,50376,5591994,994,3463111,0,1
6490,49962,5593833,991,3470506,0,1
10553,50665,5600968,1394,3419283,0,1
6516,50424,5597691,998,3473684,0,1
7082,51352,5615883,1055,3473698,0,1
5820,48157,5426958,865,3386704,0,1
6231,51348,5580574,1159,3445705,0,1
5842,47375,5264913,862,3279990,0,1
4647,51624,5609235,888,3484962,0,1
3847,48799,5258535,899,3275070,0,1
6866,51291,5608489,1235,3451877,0,1
4836,50508,5615884,891,3499354,0,1
4970,51089,5633181,942,3498818,0,1
3938,49137,5468323,798,3422643,0,1
6902,51329,5627605,1297,3454914,0,1
4725,50611,5617805,889,3502195,0,1
4604,50396,5614583,896,3491565,0,1
4568,50463,5615527,898,3500964,0,1
4441,50760,5614596,892,3489823,0,1
6986,51085,5620159,1265,3462989,0,1
4782,51415,5635854,929,3510593,0,1
6202,46981,5267677,870,3295642,0,1
4394,51079,5617663,884,3506659,0,1
9315,48061,5265866,1244,3244247,0,1
5088,47569,5307823,818,3320885,0,1
6019,50036,5560466,890,3477194,0,1
6196,49587,5557703,924,3473500,0,1
7525,48490,5328723,1210,3277440,0,1
4904,51260,5629734,949,3516976,0,1
3996,49346,5467213,806,3428086,0,1
4017,50342,5572959,794,3498067,0,1
7825,48089,5289239,1197,3264645,0,1
6904,50324,5596531,1009,3487956,0,1
6457,50180,5596822,995,3479170,0,1
6136,49780,5566268,913,3475684,0,1
6496,49671,5555558,938,3466597,0,1
8106,49232,5344138,1253,3289388,0,1
5682,48834,5439199,867,3403084,0,1
7369,50606,5600168,1020,3476937,0,1
7123,50835,5606020,1034,3487818,0,1
5934,48441,5291368,1287,3262066,0,1
6620,51161,5588683,989,3476646,0,1
6273,49971,5568925,898,3475445,0,1
6224,49899,5548341,921,3470392,0,1
7615,51159,5563515,1196,3437110,0,1
5305,49236,5486560,847,3438238,0,1
4203,50399,5586573,839,3496969,0,1
4276,48205,5329423,836,3340219,0,1
5826,48953,5326215,1195,3291567,0,1
4392,50097,5595012,1015,3489941,0,1
4370,50369,5605275,1015,3489877,0,1
3626,48878,5441766,867,3413110,0,1
4337,50858,5599219,1014,3483226,0,1
5910,49949,5478981,1167,3397259,0,1
4264,48247,5310575,831,3317283,0,1
4002,47688,5300849,823,3326056,0,1
4327,50582,5594429,1011,3483768,0,1
6152,51964,5600322,1387,3448584,0,1
4412,50525,5606261,1027,3486889,0,1
3716,49029,5437790,871,3406241,0,1
4694,47484,5293258,781,3318403,0,1
7962,47089,5191920,1205,3201751,0,1
5187,47734,5315238,829,3321710,0,1
6874,50398,5592465,1015,3474301,0,1
7014,50195,5601416,1016,3485855,0,1
6810,50205,5596721,1020,3479695,0,1
8841,50977,5603949,1296,3451096,0,1
6104,48545,5423491,839,3399752,0,1
57675,66539,5646977,6987,2180124,0,1
135079,52164,5541338,9264,1167263,0,1
103900,60198,5392738,17912,772943,0,1
117765,55652,5359802,16535,741090,0,1
102680,60537,5620475,17079,844253,0,1
172264,61328,5598549,10432,1381421,0,1
115509,61195,5642951,18187,776075,0,1
119743,52995,5327845,15295,700859,0,1
107726,60436,5369573,18158,763414,0,1
142582,60141,5594417,7383,1449888,0,1
106991,63622,5658486,19142,824062,0,1
90760,39853,3936283,12039,551354,0,1
122623,61452,5509598,18542,776778,0,1
174311,53394,5604941,17202,1086629,0,1
118347,60493,5312726,17966,776816,0,1
127121,59084,5635294,17474,807164,0,1
139452,64213,5607729,19887,1106007,0,1
120231,54873,5382932,16591,780984,0,1
132403,61184,5649070,17752,824115,0,1
120166,63562,5624119,18673,817807,0,1
153715,55241,5316730,16890,1086508,0,1
100379,59878,5311338,17916,777595,0,1
127702,57260,5679858,17382,803261,0,1
94742,52458,5686457,16717,1524926,0,1
89213,38247,5327978,10019,3286333,0,1
27596,35342,5326706,3638,3622588,0,1
32727,32948,5454935,4748,3767360,0,1
32651,18249,5618897,4565,3992627,0,1
14652,23616,5593601,2311,4258827,0,1
109383,38864,5616714,4393,2105400,0,1
134226,43426,5328338,2509,1308564,0,1
153178,52139,5688674,3137,1414851,0,1
156047,48061,5696559,2904,1399922,0,1
144727,55172,5601982,3104,1398843,0,1
147235,53115,5546666,3028,1374405,0,1
159979,41298,5680318,2778,1351743,0,1
293758,92886,10946634,5024,2702092,0,1
154723,46178,5600675,2685,1370996,0,1
150468,52442,5598282,2962,1397484,0,1
143769,49695,5669006,3060,1398680,0,1
145379,46596,5680066,2962,1375422,0,1
139437,51004,5619054,2949,1397141,0,1
135519,52951,5602642,2882,1413846,0,1
148568,50154,5296154,2740,1329719,0,1
136462,54832,5648954,3201,1419241,0,1
135970,54041,5657410,3122,1401695,0,1
144040,45635,5654338,2807,1365533,0,1
145507,46739,5633847,2893,1376943,0,1
143896,44240,5599989,2629,1356125,0,1
139602,47571,5590845,2586,1380330,0,1
157693,48309,5663743,2929,1387403,0,1
160460,45808,5612439,2719,1373307,0,1
157823,49854,5587206,2726,1389906,0,1
157786,44411,5588599,2462,1367164,0,1
145634,44075,5190034,2388,1270809,0,1
144748,50939,5330130,2706,1340773,0,1
142652,47630,5651810,2867,1391020,0,1
149709,56439,5662870,17787,2142689,0,1
56297,28312,5460478,13867,3714407,0,1
69476,28618,5339442,14000,3761945,0,1
77000,30235,5632621,14906,3942220,0,1
78793,30785,5606866,15148,3828532,0,1
85523,32967,5539251,16182,3421881,0,1
80365,30805,5583948,15169,3699934,0,1
69711,28724,5667262,14085,3721990,0,1
57873,28809,5314019,14123,3788886,0,1
70486,29126,5599765,14259,3845831,0,1
166225,82180,5364231,37814,710009,0,1
156624,80842,5320288,37291,209676,0,1
185208,96484,5639076,44527,248414,0,1
176507,91371,5350718,42187,235361,0,1
173654,91242,5375159,42009,239464,0,1
176704,95508,5587597,44037,249194,0,1
187999,92197,5682797,42555,240364,0,1
179821,88118,5617430,40571,227380,0,1
185626,96178,5667926,44415,250601,0,1
171364,88394,5360142,40779,233054,0,1
180015,92800,5362259,42768,241646,0,1
176899,92980,5361658,42834,244056,0,1
182276,98369,5677998,45401,259208,0,1
181526,98012,5648218,45235,255582,0,1
195746,96963,5627534,44854,250010,0,1
187138,92399,5352028,42453,237267,0,1
199796,96414,5634353,44517,251519,0,1
201279,96528,5639196,44571,251930,0,1
206280,100049,5640308,46112,260319,0,1
205639,99940,5636057,46085,259895,0,1
208844,100234,5669439,46207,264281,0,1
199688,97633,5639117,45090,254544,0,1
181235,97742,5593922,45153,252140,0,1
173658,92934,5322549,42973,243571,0,1
202410,97279,5636387,45077,253989,0,1
202567,97795,5637505,45120,254572,0,1
201632,97370,5624898,44968,253870,0,1
201867,97323,5579782,44828,254707,0,1
189604,91713,5264138,42239,238440,0,1
182955,95583,5453566,43965,245365,0,1
189934,97969,5646215,45409,252960,0,1
189974,98033,5633864,45160,254632,0,1
190154,93394,5340890,42938,242006,0,1
199609,97639,5639898,45120,254424,0,1
202563,97281,5604282,44943,251018,0,1
189286,94115,5388984,43223,243790,0,1
180638,97378,5571350,44998,250846,0,1
201543,96654,5587246,44591,248803,0,1
178805,96182,5484221,44427,247766,0,1
198071,96602,5591598,44684,249313,0,1
189298,92613,5339702,42735,244460,0,1
198121,97274,5604176,44774,252538,0,1
196594,98534,5696366,45438,256141,0,1
198902,98452,5685426,45431,256264,0,1
258052,131742,7585454,60540,346598,0,1
180568,97139,5570438,44872,254985,0,1
202975,97338,5635833,44964,253707,0,1
203644,97298,5639101,44958,253826,0,1
90977,38217,2247098,17624,99267,0,1
287791,155008,8819335,71002,403956,0,1
202938,96436,5575073,44365,250531,0,1
181506,97726,5595078,45227,251992,0,1
170026,91061,5191453,41996,236695,0,1
196514,95982,5554998,44286,251734,0,1
199525,97366,5639975,44932,253723,0,1
200810,97419,5641900,44995,253896,0,1
200620,97894,5641855,45134,254908,0,1
201573,97460,5641262,45049,254247,0,1
201127,97286,5640271,44955,253940,0,1
199639,97411,5654247,45041,256007,0,1
198093,95683,5548898,44240,249328,0,1
198249,96158,5574804,44377,252331,0,1
202672,97622,5640504,44877,253851,0,1
202465,97329,5641460,44923,253507,0,1
201046,96759,5576259,44524,251364,0,1
193658,91868,5298946,42269,238268,0,1
191414,98816,5677169,45688,257221,0,1
191643,99092,5682985,45765,258012,0,1
193557,99664,5596286,46065,259478,0,1
193269,99958,5614178,46119,261797,0,1
195354,101244,5679590,46763,263603,0,1
195683,101335,5678790,46795,263746,0,1
195330,101149,5684882,46750,263282,0,1
194773,101290,5669346,46608,263003,0,1
195028,101407,5682366,46751,263397,0,1
196119,101200,5680405,46785,263442,0,1
191177,98660,5523334,45575,254166,0,1
193717,100053,5619715,46063,262071,0,1
207830,99624,5635802,45901,260777,0,1
207468,99162,5639831,45846,260893,0,1
207142,99294,5642023,45808,260341,0,1
