bus_accesses,llc_accesses,cycles,llc_misses,instr,cluster,phase
28862,87696,21751351,4547,11245418,0,0
22095,78481,21515426,3392,11100456,0,0
24195,76441,21744106,3847,11170084,0,0
35250,87329,22218557,5451,11427403,0,0
33919,89547,21561319,5242,10997013,0,0
30957,80575,21561986,4747,11050895,0,0
19982,44109,11229764,3075,5660094,0,0
17654,42543,11191263,2714,5680950,0,0
17256,42458,11234435,2617,5835888,0,0
38463,90806,21539625,5899,10926653,0,0
14666,40107,11223477,2367,5760050,0,0
31651,85131,22184081,5029,11292252,0,0
30898,84022,21578400,4875,11029803,0,0
35803,90726,21559175,5627,10956261,0,0
32867,83726,21730201,5088,11247128,0,0
36521,89182,21556353,5586,10972171,0,0
19779,44320,11225727,3127,5676048,0,0
20568,49925,11192269,3244,5636704,0,0
15450,48847,11233262,2427,5706975,0,0
35513,85014,21552682,5518,10978258,0,0
22278,49731,11232391,3428,5625245,0,0
37253,94246,22210238,5786,11391925,0,0
38142,90001,21561711,6018,10908023,0,0
25842,65418,15940527,4149,8098673,0,0
10524,23508,5708292,1640,2857327,0,0
34575,88344,21729531,5520,11092458,0,0
34674,92584,21538526,5573,10898506,0,0
19242,47063,11239073,3043,5763392,0,0
199775,101989,11250650,6191,3702457,0,0
659321,254011,22288045,12776,5109840,0,0
112841,55251,10437534,14708,6310927,0,0
61303,30593,5695549,8266,3405803,0,0
222003,114455,21904372,30211,13399239,0,0
62292,30769,5783475,8344,3476251,0,0
111506,56627,10691554,15157,6454870,0,0
112918,57865,10958682,15351,6663805,0,0
229010,117806,22446629,31124,13664338,0,0
176346,89349,16969262,23884,10279681,0,0
222030,112702,21450635,29699,13063165,0,0
117015,59247,11195434,15798,6748483,0,0
228306,117233,22206634,31066,13523906,0,0
226882,116011,22057203,30413,13479801,0,0
116508,59086,11144998,15735,6711799,0,0
248914,122706,22025190,36273,12705633,0,0
263869,126031,16985565,62585,5837787,0,0
160816,75759,10770983,37597,3685663,0,0
277141,132698,21511185,65758,9394621,0,0
347931,168933,22148286,83868,10821313,0,0
361807,166443,22194675,78581,9547113,0,0
58891,26920,4712734,12773,2030502,0,0
114251,67643,11123358,21990,5954852,0,0
150800,168598,16594062,12382,12257241,0,0
53970,68209,5756274,5055,4082628,0,0
180244,281383,22194703,14560,16610755,0,0
53773,70452,5757878,5178,4062566,0,0
87355,131853,10467370,7242,7684825,0,0
175993,279265,21875243,14075,16344706,0,0
95259,141598,11156069,8084,8160781,0,0
183198,281465,22206938,15286,16400893,0,0
184895,285062,22396879,15135,16594225,0,0
184885,284170,22426899,15233,16553271,0,0
45040,58154,4715594,4344,3310143,0,0
94422,139004,11127283,8230,8127857,0,0
91462,138124,10889438,7571,7985506,0,0
97019,141739,11363850,8470,8256209,0,0
176852,282067,21986104,13995,16373214,0,0
54204,69985,5762754,5079,4061170,0,0
85148,126491,10472085,7128,7688083,0,0
218004,106681,21880261,43742,12938474,0,0
102107,52274,11076391,22842,6587371,0,0
200217,106386,22219490,45792,13250947,0,0
258070,141702,22412763,53550,11296318,0,0
138386,76161,11372786,27357,5514084,0,0
125237,69719,10335051,24766,5033992,0,0
105197,53166,11221344,20887,7316042,0,0
97941,59263,11226103,16681,7342878,0,0
52197,43946,5614520,8854,2946087,0,0
105134,370866,21443507,19178,12686821,0,0
93102,57264,11160739,15713,7784259,0,0
84008,440920,22182114,11015,14509524,0,0
67833,359496,22398391,8854,16071206,0,0
40608,489217,21872414,4572,14355921,0,0
37516,617641,21536447,4791,13748553,0,0
75314,387636,21550045,9891,14642598,0,0
29974,259846,10521610,4034,6748321,0,0
48760,122748,11367334,6113,8065702,0,0
18750,245057,10275086,2185,6717106,0,0
73586,70901,10679332,10738,6806565,0,0
70950,249011,22144940,8769,16673061,0,0
44306,539995,22282187,5123,14733738,0,0
27925,284631,11314830,3601,7178250,0,0
51721,127798,10737894,7110,7151064,0,0
18259,220775,5164627,2681,2635237,0,0
11769,1062515,22283202,1725,12091431,0,0
14273,434262,10896082,2005,6096947,0,0
49445,527313,21995059,6211,14785411,0,0
30854,52977,5758118,4257,3845860,0,0
36700,607566,21920415,4528,14335823,0,0
50008,610785,21973079,6277,13580324,0,0
139194,330880,21524915,21152,13332564,0,0
33431,68595,5654102,5118,3703266,0,0
75558,142437,10906639,11267,6866261,0,0
99761,325043,21970545,14558,13833997,0,0
126935,318758,16890029,18042,9836349,0,0
122613,293109,21936831,18040,14578124,0,0
83498,123285,10455298,12132,6308791,0,0
110864,335750,22204249,13323,13819261,0,0
190183,71599,5803086,23067,3770156,0,0
395185,104525,10726724,50489,8217899,0,0
652944,189249,16982416,93220,8888965,0,0
429240,136900,11393590,68103,4223416,0,0
698153,223553,21911577,109384,7994294,0,0
319941,85138,11141302,41550,2694180,0,0
644096,168920,21995890,82515,5332986,0,0
167456,45265,5778794,22039,1431303,0,0
158779,43252,5647327,21062,1456843,0,0
377030,154451,21806765,67586,10777364,0,0
219240,146642,16961880,30352,10367765,0,0
299029,196035,22422755,42121,13464819,0,0
152992,101790,10782302,21945,6166392,0,0
215659,89746,11215924,34517,5047393,0,0
262848,196698,22272304,35780,14438273,0,0
77116,51274,5757842,11020,3327304,0,0
169839,103725,11054531,22917,6141091,0,0
247756,125939,16968197,42708,9443249,0,0
312237,181928,21418775,49357,12110636,0,0
122788,99888,11176535,16780,7263592,0,0
293837,200589,22215184,41809,13578743,0,0
280368,143240,16961376,41515,8533540,0,0
319860,203734,22397357,44777,12692355,0,0
59452,47523,5411909,8266,3353105,0,0
