bus_accesses,llc_accesses,cycles,llc_misses,instr,cluster,phase
27883,98418,10888827,4791,5803978,0,0
35799,99693,11272472,6223,5866349,0,0
53025,200831,22141857,9489,11857838,0,0
54390,199466,21927865,9737,11699656,0,0
36759,98434,11108824,6294,5758199,0,0
107963,168079,21976198,18700,10641596,0,0
144875,101557,10897098,28284,3225491,0,0
392684,203075,22176606,67736,6652750,0,0
256132,148231,22007388,45418,7695478,0,0
60178,59179,10905022,11868,4093429,0,0
111298,167874,21955754,21515,9490008,0,0
48048,95034,10945482,8257,5451067,0,0
67849,197665,21971877,12096,11471115,0,0
31539,48347,5736714,5407,2735243,0,0
34466,97891,10895756,5990,5669249,0,0
30297,47975,5746040,5130,2772016,0,0
36871,97244,10873692,6396,5610296,0,0
85008,197964,22399014,14433,11460971,0,0
47643,94798,10857782,8224,5396074,0,0
73902,199563,22200424,13022,11477648,0,0
38553,99718,11331363,6543,5872780,0,0
55587,199878,22161196,9922,11826378,0,0
39180,96265,10942299,6687,5628304,0,0
52670,199779,21941493,9542,11726438,0,0
35598,96971,10872761,6185,5628990,0,0
93353,192407,22214336,16541,11056615,0,0
34597,25729,5642970,6326,2679787,0,0
145748,99866,10909150,28209,3039579,0,0
403639,205978,22231126,70131,6768305,0,0
234323,143145,22017506,41306,7692297,0,0
60946,62000,11107373,12028,4103062,0,0
63461,75855,10949154,11791,4394195,0,0
35494,40890,4892273,6507,2073974,0,0
21515,51472,5648719,3868,2852588,0,0
54485,203341,22109213,10064,11771049,0,0
48387,95838,11121558,8330,5547578,0,0
69847,198227,22178682,12481,11549660,0,0
31238,48267,5749086,5319,2749904,0,0
77634,194611,21963358,13400,11320992,0,0
53624,97010,11246953,9011,5529520,0,0
76148,194784,21745446,13227,11193143,0,0
27186,49535,5738364,4602,2821715,0,0
55392,197895,21971010,9764,11738184,0,0
25023,49697,5740849,4267,2868752,0,0
28847,98680,10890026,4921,5787515,0,0
37841,101074,11323304,6578,5860390,0,0
26029,99570,10889919,4727,5806361,0,0
25239,49883,5749060,4381,2855821,0,0
13992,47003,5151913,2421,2731966,0,0
