bus_accesses,llc_accesses,cycles,llc_misses,instr,cluster,phase
295668,341932,16630417,63844,2180359,0,1
417283,389072,20757681,81733,2487446,0,1
318842,267276,15510685,62962,1649355,0,1
111798,39320,3720707,18852,211387,0,1
262469,379322,16597033,58080,2494486,0,1
479722,362008,21582242,90774,2196184,0,1
350187,431174,20374999,76067,2776027,0,1
480649,335577,20541517,85466,2025600,0,1
76549,93655,4291591,15179,658318,0,1
346244,282195,16606005,69090,1680217,0,1
214209,221974,11267950,43049,1457027,0,1
75566,99797,4616055,16373,689020,0,1
217658,207641,10836436,40857,1313693,0,1
506748,355348,21888330,91954,2130869,0,1
94064,130407,5808046,20172,873816,0,1
462810,362832,21404695,89278,2194282,0,1
172697,255467,10955714,38410,1680983,0,1
196284,221898,11036856,42878,1414405,0,1
450996,426566,22408306,89104,2632243,0,1
474724,361407,21508242,90806,2179829,0,1
254595,386717,16967146,58355,2634687,0,1
413583,251788,16972754,75123,1456781,0,1
402543,449665,22412342,85643,2852700,0,1
254839,194696,11386590,47164,1213907,0,1
161175,254914,11066198,38036,1731321,0,1
484989,379105,22386273,93169,2272166,0,1
175434,258095,11375923,39491,1732759,0,1
481413,363683,21559003,91467,2215948,0,1
442624,417485,22410874,89163,2600007,0,1
388488,452056,21502049,81139,2931468,0,1
452551,240293,16978545,71759,1370728,0,1
415450,260220,16971204,71561,1551145,0,1
282470,366392,16969478,62563,2420957,0,1
467671,394816,22412626,90382,2473255,0,1
507334,340676,21509562,88651,1958016,0,1
330478,335259,16964242,65341,2208844,0,1
347531,300974,16846337,68807,1808202,0,1
419078,448234,22424734,84660,2941655,0,1
486264,364081,22172455,92478,2174136,0,1
182011,247689,11142466,39573,1656687,0,1
104246,112197,5707001,21521,769533,0,1
521461,315767,21455101,92021,1819638,0,1
319661,352846,16967108,61472,2361312,0,1
480123,203193,16975727,77493,1039574,0,1
288439,365704,16964134,61039,2451026,0,1
493964,367723,22417518,93327,2222689,0,1
361685,449653,21521142,79068,2914381,0,1
296712,145579,11396676,51479,809625,0,1
393819,471895,22227675,79256,3149351,0,1
414242,238504,16975936,74566,1377967,0,1
395109,432156,21429455,79662,2861724,0,1
299118,140950,11383186,51946,732751,0,1
386572,467968,21933216,79041,3033987,0,1
277456,129174,10537868,48715,690928,0,1
262066,179120,11042067,44567,1105721,0,1
264187,385079,16964999,59536,2648848,0,1
472398,359861,21424165,89548,2102311,0,1
476259,390470,22441741,93269,2287664,0,1
338571,498645,21712850,75581,3269983,0,1
481419,351349,21492955,90179,2041378,0,1
166412,237534,10468574,36786,1594186,0,1
277412,139798,11061597,50985,730347,0,1
354978,473488,21398051,76907,3093083,0,1
162080,73030,5779830,24382,431521,0,1
451953,216910,16919274,76153,1160160,0,1
183329,254791,11381170,40026,1683083,0,1
471175,356525,21563552,90330,2060328,0,1
259060,389885,16966080,58544,2583149,0,1
468754,353921,21434594,89759,2048428,0,1
175051,261311,11383294,39455,1736511,0,1
479547,357098,21741462,90944,2085832,0,1
272898,378433,16970688,61775,2518344,0,1
393476,269643,16965602,72422,1545725,0,1
280370,366135,16974774,62406,2366007,0,1
444921,374891,21404944,85612,2223794,0,1
190528,239841,11392393,41965,1613075,0,1
293600,122807,10887671,50698,579711,0,1
182042,238463,11056044,38802,1591546,0,1
386326,292749,16843542,65282,1808696,0,1
489466,342841,21553841,90357,2019469,0,1
283891,358347,16977376,62455,2358643,0,1
386880,265150,16971278,71061,1526866,0,1
146700,80621,5660726,24074,463654,0,1
483366,425809,22262623,87597,2638465,0,1
275162,170830,11388886,48615,952636,0,1
241231,212312,11064703,41542,1327327,0,1
550425,388781,22418764,87718,2341711,0,1
281988,159060,11391365,50608,864154,0,1
213347,227868,11058841,41321,1429868,0,1
347699,337058,16979103,62880,2138129,0,1
437105,228685,15851598,66198,1304900,0,1
474651,383601,22271405,90054,2337358,0,1
478535,369960,22225131,92519,2176045,0,1
360670,496928,22414946,80190,3228123,0,1
302513,134173,11391370,52319,650918,0,1
345278,321416,16889748,63181,2082835,0,1
516002,365397,22442812,92667,2153604,0,1
207845,207429,10467823,39670,1331020,0,1
279836,174473,11108486,44684,1044435,0,1
346852,314170,16975087,66686,1996308,0,1
355572,299618,16975826,67693,1794361,0,1
479652,388178,21451675,82085,2425416,0,1
308086,124574,11387470,53733,569242,0,1
228130,196864,10896918,42231,1276957,0,1
272095,188376,11027677,42583,1197455,0,1
338643,318752,16975290,66957,1925927,0,1
155153,65254,5664505,26592,302978,0,1
174428,270086,11262594,38342,1760454,0,1
474531,375868,21443471,86181,2261142,0,1
254642,179645,11181010,46385,1060469,0,1
424866,448636,22218869,81892,2933478,0,1
405939,251455,16970569,73999,1447367,0,1
322716,326129,16981613,63350,2177493,0,1
495434,340896,21424270,89710,1960456,0,1
185509,249578,11172264,39099,1695649,0,1
563055,320588,22155842,97519,1778150,0,1
181212,259186,11387986,39767,1793607,0,1
210295,216097,11062159,41621,1390026,0,1
604398,299514,22413964,98774,1571135,0,1
179276,265140,11383396,39332,1720429,0,1
471903,206816,16974988,76381,1046521,0,1
386818,469700,21431902,75967,3059785,0,1
282008,148543,11386319,51235,772453,0,1
210590,220250,10904520,41414,1372608,0,1
163522,263766,11063358,37913,1697258,0,1
413263,243903,16970683,75122,1311326,0,1
424076,278179,16920322,68040,1676485,0,1
317397,321277,15852035,59189,2052377,0,1
287447,141900,11184188,50493,734258,0,1
396190,466050,22194926,81070,2970702,0,1
437130,237043,16972300,73594,1279314,0,1
455542,402402,21424648,82375,2464420,0,1
