bus_accesses,llc_accesses,cycles,llc_misses,instr,cluster,phase
182932,105544,10392863,33769,1950960,0,1
294368,168322,16874242,54548,3149557,0,1
456048,166299,16976482,72267,2123835,0,1
533783,160947,16903982,78596,1544674,0,1
161350,49031,5144007,23915,468366,0,1
394073,136272,16867201,64001,2760671,0,1
295069,121375,16964218,58491,2729058,0,1
367993,153399,21419974,74036,3443463,0,1
294581,121739,16978368,58547,2741288,0,1
391428,183166,21977662,74433,3762658,0,1
397011,229620,22436899,73167,4213969,0,1
395314,225081,22279622,72412,4179242,0,1
496259,227548,22163894,86819,3365620,0,1
178663,58279,5802390,28603,491028,0,1
566408,202687,21944474,97129,3359324,0,1
234285,96066,10885328,46675,1886313,0,1
478296,196376,22169111,95451,3821888,0,1
481136,203705,22014270,93649,3898169,0,1
387399,224653,22182502,71357,4111729,0,1
192981,111536,11125882,35730,2050522,0,1
386269,222808,22190650,71407,4127178,0,1
103713,56865,5799415,18457,1065449,0,1
115134,53934,5169777,19939,853430,0,1
173193,53975,5658776,26158,538366,0,1
341159,102571,10796981,50021,1004699,0,1
686539,208484,22441990,100211,2463616,0,1
392167,155458,21500374,74779,3528339,0,1
385476,159167,22430885,76907,3593049,0,1
193422,78038,10885354,37624,1764777,0,1
374798,154601,21521386,74614,3473427,0,1
308653,164032,16973222,56824,3070641,0,1
370192,217825,21421130,69271,3976279,0,1
104664,57624,5773390,18519,1068843,0,1
378848,215655,21710926,69594,4015245,0,1
253077,106615,10429706,43549,1454581,0,1
335894,110306,10816498,54195,911456,0,1
436557,153581,16992457,73090,2672688,0,1
470356,191622,21936129,93347,3743440,0,1
226429,91168,10449619,44457,1789651,0,1
230693,94551,10774839,46123,1859516,0,1
363699,157926,16992082,70255,3016649,0,1
385538,223309,21950779,71170,4093236,0,1
103436,57773,5641105,18494,1051651,0,1
195311,113401,11225569,36333,2103305,0,1
375304,216067,21408623,69803,4035766,0,1
311944,109517,11202254,48773,1346885,0,1
703478,211699,22159346,103416,2031475,0,1
183501,55629,5793970,27152,554403,0,1
345899,126468,16865824,59166,2959698,0,1
190162,77411,10931307,37325,1754938,0,1
370694,152512,21537070,73787,3437443,0,1
292519,120326,16964991,58087,2715902,0,1
378539,166343,21433921,73966,3551538,0,1
396907,230772,22453442,73395,4240968,0,1
194107,108701,10649730,34946,2014451,0,1
384217,218837,21532840,70527,4057923,0,1
551919,219531,21372885,93956,2654686,0,1
330885,111026,11398723,52523,1474462,0,1
129686,48033,5276520,23264,946279,0,1
237169,96963,11054072,47267,1905733,0,1
483956,196582,22490060,96174,3842581,0,1
369100,149435,16984367,73026,2943192,0,1
337651,162732,16909285,64696,3051873,0,1
200622,115431,11386530,36792,2118262,0,1
378373,218230,21530940,69801,4004103,0,1
296887,168906,16974070,54450,3144179,0,1
536286,209117,21409683,86581,2883110,0,1
181916,55395,5773919,26947,550991,0,1
178228,54662,5709132,26604,543105,0,1
620910,192960,21606846,92065,2838557,0,1
187659,76168,10672607,36684,1715297,0,1
381100,158395,22184418,76522,3558595,0,1
294805,121408,16981354,58541,2738905,0,1
380578,157854,21966670,75879,3526886,0,1
305617,164256,16970770,55467,3111440,0,1
394668,228648,22444442,72818,4201673,0,1
389407,221168,21977654,71316,4111347,0,1
558835,222050,21539454,94188,2708953,0,1
469626,160811,16968649,76727,2487926,0,1
463675,190399,21419613,92805,3714342,0,1
127448,50750,5776993,24572,997125,0,1
475803,194373,21737838,94549,3777428,0,1
344370,163873,16975514,64976,3055674,0,1
367999,216865,21414254,68783,3964500,0,1
388677,223901,22210750,71521,4133653,0,1
99685,53864,5389058,17415,990678,0,1
98408,56084,5641894,18192,1052983,0,1
434047,157441,15935642,68248,1957144,0,1
179059,53869,5668801,26246,542366,0,1
680034,204251,21367353,99818,1960577,0,1
230801,86279,11379717,39890,2199051,0,1
93444,36889,5177242,17782,822479,0,1
96456,40233,5661457,19418,913306,0,1
187625,78098,11028053,37807,1773579,0,1
389602,160231,22402614,77616,3623795,0,1
385827,158687,22212396,76778,3588770,0,1
209444,103229,11131330,37804,2003132,0,1
191508,112424,11040661,35942,2075448,0,1
297064,171658,16977894,54819,3159916,0,1
369659,212935,21413426,68638,3949226,0,1
198621,111190,11197262,36048,2084990,0,1
701679,232421,22228827,113864,1892677,0,1
377930,148727,16986005,69883,3351918,0,1
480530,197203,21961926,95402,3812085,0,1
370289,151734,16962387,73330,2942069,0,1
346097,162693,16992870,65114,3076209,0,1
385413,223763,21982338,71194,4096025,0,1
297848,169646,16976734,54355,3134366,0,1
379436,215155,21406080,70504,3963833,0,1
177108,55804,5765726,26995,555299,0,1
686111,206383,21704051,100946,1983108,0,1
330001,99488,10483322,48614,984691,0,1
224197,84426,10925187,38929,2150287,0,1
386411,159872,22432598,77172,3600311,0,1
190002,77047,10874461,37085,1735237,0,1
188438,78718,11100160,37870,1779162,0,1
292779,120911,16960404,58190,2716742,0,1
376453,188901,21418062,71125,3742803,0,1
389087,226319,22240138,72028,4160703,0,1
216342,121562,12107134,38938,2229857,0,1
548684,226119,22254906,93497,2927348,0,1
56890,19162,1872391,9314,152052,0,1
327329,108633,11118314,51417,1528654,0,1
34282,12903,1446767,6130,242847,0,1
437515,178581,20508562,87187,3486381,0,1
389543,158662,17982322,77296,3090564,0,1
53211,20621,2329719,10022,397291,0,1
148110,60659,6842880,29568,1179437,0,1
275335,113041,12756299,55195,2215718,0,1
176683,89284,8854924,31662,1626929,0,1
180238,104503,10364402,33464,1926831,0,1
168985,99686,9701135,31794,1802191,0,1
185212,106150,10566575,34087,1961201,0,1
279177,162385,16242594,51984,3009160,0,1
196815,109772,11068284,35635,2063745,0,1
381828,134638,13821314,59827,1630497,0,1
484668,147206,15217170,71622,1404303,0,1
81542,25802,2652531,12515,244245,0,1
93833,28553,2987683,13774,291468,0,1
314788,96571,10777280,45119,1642223,0,1
84426,32435,4571135,15610,728265,0,1
4533,2472,246127,876,33821,0,1
379446,158747,22396396,76694,3579943,0,1
261259,107960,15213589,52262,2436426,0,1
101552,40883,5782809,19707,926972,0,1
146511,60204,8430307,29031,1347043,0,1
383959,158776,21913010,75595,3550630,0,1
25828,13315,1314084,4244,236401,0,1
191909,109728,11018328,34994,2027660,0,1
188837,111238,11051614,35497,2049138,0,1
295335,170052,16979994,54326,3130564,0,1
298993,169536,16976910,54720,3165761,0,1
382674,172435,16979074,67089,2544942,0,1
627025,208851,21423474,100531,2592650,0,1
242142,97184,11193207,47310,1904696,0,1
479447,196213,22207861,95760,3831359,0,1
370868,150420,16988944,73420,2952011,0,1
441911,213962,21981062,83967,3987493,0,1
301668,173900,16976226,55528,3208092,0,1
304180,173739,16995808,55541,3208255,0,1
401101,222620,21946130,73762,4071625,0,1
675700,204747,21494528,99966,1962700,0,1
357716,107663,11128966,52588,1053881,0,1
292308,94200,11109458,43835,1889417,0,1
295113,120896,16877839,58536,2723767,0,1
367446,152247,21334987,73888,3449374,0,1
195064,79516,11195254,38353,1797057,0,1
380744,158012,22200238,76464,3563525,0,1
308007,164555,16992643,56703,3082075,0,1
390746,225979,21988030,72246,4164765,0,1
297537,168641,16989986,54473,3144156,0,1
106128,57605,5787579,18741,1086772,0,1
559851,224757,22131128,95263,2776457,0,1
848945,287134,22434146,139680,2362697,0,1
382509,134146,11155930,65805,1592515,0,1
473224,191523,21993427,93061,3998195,0,1
365771,147104,16979679,71401,3083897,0,1
456901,201630,21964009,86631,4106539,0,1
288623,167064,16976654,51923,3274559,0,1
291665,168775,16995303,52360,3319034,0,1
184014,106725,10858880,33488,2122846,0,1
338157,168946,16980318,59120,3025979,0,1
536025,161816,16983890,78973,1572676,0,1
343308,103437,10868241,50384,1013154,0,1
178800,54554,5681338,26515,519822,0,1
245057,86362,11171056,39012,2071115,0,1
292683,121062,16981330,58114,2725281,0,1
382079,158236,21921210,76098,3557411,0,1
199631,82034,11408684,39305,1839846,0,1
80843,33718,4635161,16119,745385,0,1
96695,40770,5649521,19504,915925,0,1
308925,141505,16902726,59083,2882594,0,1
365506,213869,21318097,68360,3936624,0,1
199848,111975,11160612,36130,2083739,0,1
391002,223893,22227202,72303,4171649,0,1
405568,166125,17025302,69459,2142280,0,1
594069,202237,21951697,97076,2724390,0,1
248475,99237,11384544,48260,1946187,0,1
465274,191441,21853892,93267,3741218,0,1
239565,96917,11144795,47256,1907784,0,1
456665,205789,21973978,87554,3915955,0,1
106376,58331,5817775,18794,1078614,0,1
369182,217395,21437517,69080,3989493,0,1
192076,108713,10894481,34777,1998686,0,1
383459,218493,21948558,70343,4072239,0,1
320101,101272,10417819,48813,1026026,0,1
339368,102128,10781208,49746,998668,0,1
535455,161713,16964382,78730,1567798,0,1
335445,129777,16970664,59434,3062554,0,1
101258,40703,5658362,19576,901707,0,1
191291,80082,11225391,38527,1800232,0,1
365136,152764,21402120,73498,3424846,0,1
197373,81296,11384110,38972,1828340,0,1
390273,178257,21936550,75611,3704465,0,1
193898,109313,10927202,34933,2013425,0,1
188407,111088,11026279,35391,2038775,0,1
394450,226447,22470818,72556,4165070,0,1
300215,168991,16966162,54684,3159057,0,1
479844,163315,16994326,78268,1438383,0,1
547846,198309,21915222,94915,3387742,0,1
130129,51742,5812476,25143,1018683,0,1
225526,92456,10342099,44872,1808055,0,1
465710,192110,21395723,93183,3735984,0,1
462209,214542,22444499,88784,4035136,0,1
188714,106380,10648806,34013,1951786,0,1
376911,217905,21530354,69405,3982558,0,1
370024,214552,21391618,68710,3969465,0,1
276155,112938,11392142,45351,1616304,0,1
687217,207348,21711306,101068,1984625,0,1
570725,187016,22425721,88787,3226918,0,1
387045,160207,22333509,77285,3609449,0,1
193248,78135,10873846,37678,1767737,0,1
191483,79742,11104853,38482,1808976,0,1
388642,161069,22401446,77539,3624754,0,1
397954,220145,22346394,73752,4078867,0,1
102550,57415,5700788,18334,1052228,0,1
387508,221891,22195866,71128,4103636,0,1
183666,104064,10653402,33702,1955893,0,1
520792,215114,22178573,89196,2796122,0,1
165627,54387,5821758,26648,459016,0,1
291306,96638,10912445,44928,1648011,0,1
229374,96728,10809822,44907,1932994,0,1
477272,201749,22404390,93712,4000560,0,1
454315,193005,21452609,89693,3828681,0,1
130113,55280,5801140,23975,1065161,0,1
188570,107220,10882080,33168,2096510,0,1
180137,106772,10867922,33007,2102008,0,1
379318,220280,22420530,68371,4307212,0,1
379948,209452,21507892,68385,4021708,0,1
356076,108798,11401913,52931,1060618,0,1
710984,214280,21974718,104542,2053420,0,1
365889,129245,16948670,60646,2878856,0,1
383440,158503,22406603,76527,3575637,0,1
101407,40386,5681413,19475,899149,0,1
96157,39838,5622679,19166,899970,0,1
187131,78159,11051278,37684,1768639,0,1
292047,120714,16971818,58054,2717900,0,1
381874,198616,21430562,71782,3817469,0,1
198427,113798,11181165,36269,2095419,0,1
391426,225484,22203734,72198,4160166,0,1
203237,112959,11385703,36660,2116345,0,1
532551,209932,21464126,89521,2565332,0,1
549505,193329,21500010,92283,3049773,0,1
245299,98879,11144223,47908,1929860,0,1
237571,98025,11040498,47530,1918708,0,1
487412,199787,22403843,96856,3883480,0,1
427945,208798,21484546,81862,3880943,0,1
297049,171615,16989816,54837,3167018,0,1
381795,219098,21932902,70087,4045761,0,1
466304,225837,22451586,81580,3735189,0,1
341797,103766,10851270,50494,1012110,0,1
703574,212428,22178874,103535,2033899,0,1
126960,43078,5798634,18725,1330503,0,1
87981,36118,5051389,17345,801707,0,1
97121,40484,5698319,19480,913783,0,1
293699,121310,16879674,58410,2710680,0,1
366618,153429,21339332,73714,3429568,0,1
197397,81057,11382750,38876,1824332,0,1
391670,179363,21931870,75231,3703133,0,1
186489,105122,10499037,33787,1949415,0,1
103523,57173,5673307,18422,1045151,0,1
96649,56632,5633153,18139,1047236,0,1
380523,216348,21569430,69820,4018131,0,1
474088,162860,16967334,77216,1496686,0,1
538820,193231,21419302,92308,3243996,0,1
251296,101734,11386168,49489,1994268,0,1
240292,97307,10872861,47087,1901058,0,1
239887,98906,11055292,47966,1935674,0,1
483224,207062,22420134,94486,3949592,0,1
202128,114057,11396594,36435,2090694,0,1
188071,110899,11044991,35243,2035510,0,1
294656,169678,16975410,54106,3118156,0,1
366739,212006,21416826,68171,3931090,0,1
468546,166094,16983362,72867,2031310,0,1
688344,207447,21674470,101118,1988336,0,1
166933,53871,5822730,24054,770339,0,1
386502,155760,21426454,73776,3700977,0,1
190566,77002,10879287,37236,1749164,0,1
372271,153162,21534797,74046,3448031,0,1
385910,160021,22345508,77325,3604727,0,1
401545,216548,22442410,73786,4067193,0,1
189852,110346,11085370,35332,2041155,0,1
385492,220027,22211562,70865,4093606,0,1
185614,103048,10458058,33504,1928372,0,1
239745,105757,10575270,42452,1486693,0,1
491932,161268,16965346,79239,1319102,0,1
507597,195305,22433822,93132,3992494,0,1
460181,189330,21468408,92009,3681867,0,1
