bus_accesses,llc_accesses,cycles,llc_misses,instr,cluster,phase
4856,253661,21776575,684,11366018,0,0
4489,131764,11293755,622,5862520,0,0
1698,130357,10854548,204,5646724,0,0
5027,201292,16821779,614,8660750,0,0
12199,78999,5711228,1713,2656294,0,0
9357,137427,10889018,1126,5411166,0,0
20415,246506,16877337,2284,8391559,0,0
16226,148466,11290936,1692,5619229,0,0
29676,131610,10760675,4134,5315939,0,0
33580,279628,22315583,4052,11173552,0,0
26827,263226,21533548,2326,11002272,0,0
9628,69097,5635297,1019,2831790,0,0
13048,132213,10841364,1076,5529927,0,0
23712,211684,16876725,2085,8493237,0,0
8877,71927,5694165,882,2830590,0,0
21514,134623,10649571,2701,5236776,0,0
15025,88970,5853560,2244,2672108,0,0
11352,145995,11126652,1752,5513127,0,0
9105,72321,5712757,1293,2807399,0,0
17077,321756,22176257,1858,11071960,0,0
23892,126622,10932163,4137,5450555,0,0
18272,276801,21935515,2828,11188169,0,0
5141,133433,11298565,737,5845258,0,0
4079,256870,21708829,579,11325926,0,0
4415,137810,10883791,612,5536662,0,0
15170,281166,21998628,2132,11047647,0,0
17232,153431,10918634,2423,5237762,0,0
8007,136630,10688272,1060,5382588,0,0
24226,235789,18930642,2433,9538083,0,0
26738,69018,5661184,4323,2636928,0,0
17902,84234,5659360,2568,2647481,0,0
20444,200266,16677977,1888,8505991,0,0
16497,133273,10911457,1610,5528498,0,0
13925,130359,10681208,1162,5434909,0,0
28352,278671,22176273,2595,11246704,0,0
16753,146353,11300774,1852,5621362,0,0
7914,65497,4990369,902,2450822,0,0
8631,74203,5661943,912,2774541,0,0
15679,143141,10876717,1587,5387301,0,0
30600,299428,22389938,3286,11004448,0,0
18372,137018,11092349,2163,5413586,0,0
31679,267349,21982157,3579,10974893,0,0
43886,289271,22517824,5724,11326636,0,0
15654,132775,10910081,1602,5524112,0,0
23448,268426,21703535,2150,10978418,0,0
18856,153912,11309276,2167,5550226,0,0
21754,328266,22002970,2970,10788688,0,0
8790,83961,5721817,1458,2719086,0,0
6269,238734,16348446,1026,8094580,0,0
7751,145005,11105809,1222,5527923,0,0
12411,301928,21983469,1853,10899017,0,0
15199,286527,21975991,2066,10937232,0,0
16912,156797,10764793,2264,5129027,0,0
47537,280040,22202121,6494,10989843,0,0
10050,67538,5642829,1175,2830815,0,0
25045,262291,21593850,2251,11066339,0,0
15461,140051,11293868,1423,5725298,0,0
27364,285045,22008708,2739,11078534,0,0
21787,256454,16501107,3594,7889118,0,0
15617,173830,11225420,2730,5281190,0,0
10260,307837,21992276,1790,10893628,0,0
17105,178444,11315614,2890,5290291,0,0
6800,147191,10648061,1052,5276401,0,0
11381,84976,5714932,1733,2665683,0,0
9448,166793,10914389,1473,5236679,0,0
3486,79352,5174000,575,2491422,0,0
8820,84746,5697998,1359,2654660,0,0
4981,144097,11084065,653,5576501,0,0
11975,162596,10604268,1423,5083128,0,0
10271,71485,5684273,1283,2764232,0,0
14215,135552,11102593,1112,5634131,0,0
52444,287008,22420061,7192,11159785,0,0
26288,276711,22404325,2430,11401847,0,0
20101,196480,15994571,1849,8106048,0,0
12729,156616,10735626,1958,5203353,0,0
20546,359614,22211742,3757,10598909,0,0
9054,82179,5719288,1554,2699410,0,0
6885,158499,10902829,1118,5322147,0,0
4909,78937,5696148,797,2727877,0,0
2774,142680,10909659,385,5452547,0,0
11844,340736,22333711,2107,10929767,0,0
8887,94747,5632351,1571,2602776,0,0
13648,178017,10678996,2347,5026353,0,0
13703,369155,22026761,2401,10509389,0,0
23037,303407,22415203,2767,11015192,0,0
10353,68720,5616695,1126,2798415,0,0
38501,147264,10898744,5696,5256951,0,0
26717,268990,22313755,2515,11426581,0,0
25640,270465,21986123,2209,11229797,0,0
14300,133966,10897977,1260,5521787,0,0
19914,318712,21996614,3227,10753949,0,0
11970,90203,5658338,2047,2511475,0,0
11243,164737,10291604,2023,4844329,0,0
10375,166698,11223170,1754,5414070,0,0
3134,153526,11168067,458,5503843,0,0
6339,79452,5715539,1028,2700453,0,0
3650,148667,10910538,535,5397104,0,0
8062,96415,5717696,1341,2680144,0,0
5983,178055,10889921,974,5247410,0,0
7389,78861,5711291,1249,2773433,0,0
8558,185046,10926318,1495,5180647,0,0
12995,386301,21979350,2399,10518051,0,0
17772,327259,22205601,2793,10833449,0,0
6786,48670,3271490,1175,1507799,0,0
10807,194225,13340814,1469,6418871,0,0
35576,271868,21775671,6133,10899340,0,0
8131,130366,11194132,1575,5741669,0,0
7814,265290,22183493,1328,11458561,0,0
5948,132289,11073732,935,5661582,0,0
9827,153365,10696802,1596,5226837,0,0
20364,273267,16934177,3724,7981730,0,0
14887,258045,16892867,2616,8133524,0,0
4799,308521,21626319,819,10522639,0,0
9596,176070,11033085,1624,5313914,0,0
11312,353189,22182443,2031,10776088,0,0
